transaction_id,wallet_id_send,wallet_id_got
240,240,85.42
241,241,16.44
242,242,47.18
243,243,94.61
244,244,10.96
245,245,92.03
246,246,7.85
247,247,44.04
248,248,9.82
249,249,4.45
250,250,26.93
251,251,44.27
252,252,80.23
253,253,36.81
254,254,70.48
255,255,17.92
256,256,47.65
257,257,14.06
258,258,91.54
259,259,40.28
260,260,33.36
261,261,82.7
262,262,84.27
263,263,22.01
264,264,66.06
265,265,65.22
266,266,32.78
267,267,98.62
268,268,42.3
269,269,5.22
270,270,21.41
271,271,4.13
272,272,48.27
273,273,44.39
274,274,35.96
275,275,40.03
276,276,97.15
277,277,94.42
278,278,74.89
279,279,58.71
280,280,13.33
281,281,55.17
282,282,1.78
283,283,77.01
284,284,92.63
285,285,51.31
286,286,95.39
287,287,60.74
288,288,70.31
289,289,18.86
290,290,83.7
291,291,68.56
292,292,97.73
293,293,59.16
294,294,28.22
295,295,72.13
296,296,80.58
297,297,74.97
298,298,35.14
299,299,34.63
300,300,58.28
301,301,83.89
302,302,41.43
303,303,56.08
304,304,23.99
305,305,77.44
306,306,90.24
307,307,18.22
308,308,89.25
309,309,29.13
310,310,3.02
311,311,23.53
312,312,83.62
313,313,55.26
314,314,94.91
315,315,60.42
316,316,29.42
317,317,54.89
318,318,70.22
319,319,11.55
320,320,93.85
321,321,87.82
322,322,82.0
323,323,47.8
324,324,88.31
325,325,46.17
326,326,8.44
327,327,60.72
328,328,21.79
329,329,41.08
330,330,97.51
331,331,12.45
332,332,4.12
333,333,69.3
334,334,25.51
335,335,32.75
336,336,64.82
337,337,23.63
338,338,59.31
339,339,8.32
340,340,44.8
341,341,30.83
342,342,65.78
343,343,44.52
344,344,32.74
345,345,31.77
346,346,6.06
347,347,43.65
348,348,85.86
349,349,89.9
350,350,14.4
351,351,71.61
352,352,65.82
353,353,12.24
354,354,65.66
355,355,50.63
356,356,16.51
357,357,41.57
358,358,72.94
359,359,2.86
360,360,28.63
361,361,28.2
362,362,20.51
363,363,57.8
364,364,32.07
365,365,34.01
366,366,89.69
367,367,64.46
368,368,2.0
369,369,94.49
370,370,72.11
371,371,19.31
372,372,52.59
373,373,39.71
374,374,1.9
375,375,60.68
376,376,39.75
377,377,96.08
378,378,75.37
379,379,57.04
380,380,11.96
381,381,76.71
382,382,61.55
383,383,34.64
384,384,90.65
385,385,75.02
386,386,35.39
387,387,85.82
388,388,56.74
389,389,7.33
390,390,5.71
391,391,91.93
392,392,95.71
393,393,55.96
394,394,89.64
395,395,63.08
396,396,0.15
397,397,68.68
398,398,68.96
399,399,10.0
400,400,3.69
401,401,6.45
402,402,42.25
403,403,60.08
404,404,79.02
405,405,35.66
406,406,41.3
407,407,5.7
408,408,79.53
409,409,14.51
410,410,66.96
411,411,5.84
412,412,75.83
413,413,74.75
414,414,54.45
415,415,83.1
416,416,59.81
417,417,4.07
418,418,83.37
419,419,99.73
420,420,83.77
421,421,12.48
422,422,39.72
423,423,28.92
424,424,84.13
425,425,9.98
426,426,79.23
427,427,96.37
428,428,16.27
429,429,75.26
430,430,38.52
431,431,5.96
432,432,87.39
433,433,27.64
434,434,33.46
435,435,48.02
436,436,94.83
437,437,93.27
438,438,68.31
439,439,97.24
440,440,42.61
441,441,62.45
442,442,65.56
443,443,35.76
444,444,5.81
445,445,55.55
446,446,87.81
447,447,89.84
448,448,14.17
449,449,71.68
450,450,47.42
451,451,61.0
452,452,38.88
453,453,72.16
454,454,50.13
455,455,21.38
456,456,90.05
457,457,87.88
458,458,19.43
459,459,22.47
460,460,78.96
461,461,78.26
462,462,54.27
463,463,67.47
464,464,84.2
465,465,26.23
466,466,15.98
467,467,72.04
468,468,69.55
469,469,39.81
470,470,72.31
471,471,50.72
472,472,36.23
473,473,13.22
474,474,25.38
475,475,48.95
476,476,24.17
477,477,52.66
478,478,56.64
479,479,17.57
480,480,50.69
481,481,95.32
482,482,88.23
483,483,85.89
484,484,96.6
485,485,6.72
486,486,11.44
487,487,38.03
488,488,12.03
489,489,30.73
490,490,22.86
491,491,43.57
492,492,61.71
493,493,51.76
494,494,80.97
495,495,45.21
496,496,66.36
497,497,2.86
498,498,97.25
499,499,39.4
500,500,56.47
501,501,32.42
502,502,79.74
503,503,31.84
504,504,74.13
505,505,19.11
506,506,20.02
507,507,47.46
508,508,16.81
509,509,24.08
510,510,34.08
511,511,65.85
512,512,34.39
513,513,60.16
514,514,72.52
515,515,10.16
516,516,43.43
517,517,27.53
518,518,5.86
519,519,92.57
520,520,88.67
521,521,28.29
522,522,60.53
523,523,84.08
524,524,65.87
525,525,52.53
526,526,73.99
527,527,30.26
528,528,36.53
529,529,95.7
530,530,16.01
531,531,3.54
532,532,69.63
533,533,31.71
534,534,90.44
535,535,85.75
536,536,50.59
537,537,68.3
538,538,57.13
539,539,79.66
540,540,37.31
541,541,53.66
542,542,45.94
543,543,44.56
544,544,15.19
545,545,71.69
546,546,70.74
547,547,80.17
548,548,16.56
549,549,93.47
550,550,88.88
551,551,74.19
552,552,37.75
553,553,58.19
554,554,14.32
555,555,4.62
556,556,82.53
557,557,95.89
558,558,27.81
559,559,90.32
560,560,43.56
561,561,66.58
562,562,7.35
563,563,54.17
564,564,22.45
565,565,24.06
566,566,80.79
567,567,29.78
568,568,41.63
569,569,68.6
570,570,53.06
571,571,98.76
572,572,56.94
573,573,50.52
574,574,91.94
575,575,42.3
576,576,44.32
577,577,81.83
578,578,17.36
579,579,50.1
580,580,25.54
581,581,40.52
582,582,12.03
583,583,38.88
584,584,25.95
585,585,32.96
586,586,73.37
587,587,5.74
588,588,20.12
589,589,99.38
590,590,38.62
591,591,66.02
592,592,17.84
593,593,18.7
594,594,70.56
595,595,18.47
596,596,88.34
597,597,68.62
598,598,99.09
599,599,33.47
600,600,55.51
601,601,12.28
602,602,64.54
603,603,12.08
604,604,39.4
605,605,3.35
606,606,77.86
607,607,20.53
608,608,9.97
609,609,23.63
610,610,26.33
611,611,2.37
612,612,81.51
613,613,32.92
614,614,23.74
615,615,9.22
616,616,23.37
617,617,80.56
618,618,85.67
619,619,74.03
620,620,5.88
621,621,32.96
622,622,72.75
623,623,84.98
624,624,73.52
625,625,56.0
626,626,92.64
627,627,83.47
628,628,56.21
629,629,23.14
630,630,29.53
631,631,55.11
632,632,40.58
633,633,59.68
634,634,94.58
635,635,33.84
636,636,97.25
637,637,33.48
638,638,95.24
639,639,35.5
640,640,10.96
641,641,6.45
642,642,16.22
643,643,43.68
644,644,1.01
645,645,12.04
646,646,43.57
647,647,26.81
648,648,7.36
649,649,30.36
650,650,44.35
651,651,56.41
652,652,45.46
653,653,14.75
654,654,99.9
655,655,20.04
656,656,57.49
657,657,91.98
658,658,49.93
659,659,58.67
660,660,67.99
661,661,94.39
662,662,39.03
663,663,77.62
664,664,64.19
665,665,1.45
666,666,91.86
667,667,67.59
668,668,75.34
669,669,19.12
670,670,53.86
671,671,89.91
672,672,61.47
673,673,52.28
674,674,6.52
675,675,60.17
676,676,73.1
677,677,91.62
678,678,18.66
679,679,24.7
680,680,7.72
681,681,37.56
682,682,71.03
683,683,81.56
684,684,69.91
685,685,88.78
686,686,68.95
687,687,95.28
688,688,13.81
689,689,93.2
690,690,73.02
691,691,84.34
692,692,37.99
693,693,34.41
694,694,67.32
695,695,77.75
696,696,47.71
697,697,64.54
698,698,1.92
699,699,61.18
700,700,85.16
701,701,74.19
702,702,0.29
703,703,31.07
704,704,64.38
705,705,30.55
706,706,12.22
707,707,84.77
708,708,35.9
709,709,53.6
710,710,83.8
711,711,1.75
712,712,13.61
713,713,5.4
714,714,22.48
715,715,23.63
716,716,64.05
717,717,47.24
718,718,75.22
719,719,36.95
720,720,87.63
721,721,47.65
722,722,29.31
723,723,55.59
724,724,11.04
725,725,90.86
726,726,43.02
727,727,33.04
728,728,99.59
729,729,68.31
730,730,18.72
731,731,64.43
732,732,6.09
733,733,81.19
734,734,72.95
735,735,67.6
736,736,40.49
737,737,22.16
738,738,9.18
739,739,47.52
740,740,52.43
741,741,56.45
742,742,60.57
743,743,74.77
744,744,62.16
745,745,95.93
746,746,61.76
747,747,33.91
748,748,46.5
749,749,45.97
750,750,80.95
751,751,6.41
752,752,8.98
753,753,21.48
754,754,8.3
755,755,99.33
756,756,88.6
757,757,23.23
758,758,61.47
759,759,36.64
760,760,10.91
761,761,53.25
762,762,94.5
763,763,86.52
764,764,31.68
765,765,25.15
766,766,11.33
767,767,67.44
768,768,63.96
769,769,7.25
770,770,8.05
771,771,41.8
772,772,69.61
773,773,26.67
774,774,34.56
775,775,82.11
776,776,57.45
777,777,77.3
778,778,2.71
779,779,12.1
780,780,42.13
781,781,85.02
782,782,87.79
783,783,64.66
784,784,47.76
785,785,23.81
786,786,65.51
787,787,16.9
788,788,64.45
789,789,86.56
790,790,94.78
791,791,4.79
792,792,84.21
793,793,44.01
794,794,57.19
795,795,80.07
796,796,18.94
797,797,5.72
798,798,57.99
799,799,49.14
800,800,92.02
801,801,30.94
802,802,44.03
803,803,61.69
804,804,15.39
805,805,71.52
806,806,44.74
807,807,10.39
808,808,24.67
809,809,55.66
810,810,37.4
811,811,65.76
812,812,99.37
813,813,61.39
814,814,30.87
815,815,31.2
816,816,56.2
817,817,46.02
818,818,52.3
819,819,52.81
820,820,4.72
821,821,23.14
822,822,97.27
823,823,57.08
824,824,17.56
825,825,63.21
826,826,80.62
827,827,62.67
828,828,85.16
829,829,54.02
830,830,40.63
831,831,65.59
832,832,39.69
833,833,77.18
834,834,51.94
835,835,76.1
836,836,79.39
837,837,9.39
838,838,60.45
839,839,46.16
840,840,70.46
841,841,89.15
842,842,69.03
843,843,50.33
844,844,85.11
845,845,29.48
846,846,78.64
847,847,77.56
848,848,43.21
849,849,20.59
850,850,52.06
851,851,65.64
852,852,50.51
853,853,5.29
854,854,57.82
855,855,42.64
856,856,46.63
857,857,33.89
858,858,55.66
859,859,43.38
860,860,54.8
861,861,3.81
862,862,94.36
863,863,51.25
864,864,50.92
865,865,71.47
866,866,60.75
867,867,88.55
868,868,50.61
869,869,62.9
870,870,24.75
871,871,79.43
872,872,96.69
873,873,55.61
874,874,0.11
875,875,30.45
876,876,92.96
877,877,56.06
878,878,93.96
879,879,84.37
880,880,84.26
881,881,14.14
882,882,39.94
883,883,54.14
884,884,82.65
885,885,35.25
886,886,1.02
887,887,51.15
888,888,50.76
889,889,76.53
890,890,2.35
891,891,15.56
892,892,10.23
893,893,51.07
894,894,92.14
895,895,63.86
896,896,23.66
897,897,66.62
898,898,83.75
899,899,78.89
900,900,35.69
901,901,18.81
902,902,30.76
903,903,33.19
904,904,45.25
905,905,88.37
906,906,16.44
907,907,84.12
908,908,77.47
909,909,66.83
910,910,50.49
911,911,20.57
912,912,87.7
913,913,74.07
914,914,27.91
915,915,92.93
916,916,62.83
917,917,64.09
918,918,43.54
919,919,80.06
920,920,50.84
921,921,20.36
922,922,72.68
923,923,74.2
924,924,72.86
925,925,48.53
926,926,37.99
927,927,2.81
928,928,68.92
929,929,4.81
930,930,96.21
931,931,58.29
932,932,91.0
933,933,95.22
934,934,8.83
935,935,10.61
936,936,91.29
937,937,51.62
938,938,94.97
939,939,95.89
940,940,7.79
941,941,84.74
942,942,92.49
943,943,58.18
944,944,44.02
945,945,48.85
946,946,57.98
947,947,14.6
948,948,81.81
949,949,10.75
950,950,87.54
951,951,25.15
952,952,26.42
953,953,8.47
954,954,46.39
955,955,11.64
956,956,85.86
957,957,3.76
958,958,99.28
959,959,28.82
960,960,31.12
961,961,90.38
962,962,3.95
963,963,5.88
964,964,26.55
965,965,91.32
966,966,35.46
967,967,51.86
968,968,25.01
969,969,79.8
970,970,0.37
971,971,51.21
972,972,62.92
973,973,49.03
974,974,40.76
975,975,9.27
976,976,33.53
977,977,87.3
978,978,2.63
979,979,71.84
980,980,82.14
981,981,83.68
982,982,2.21
983,983,81.12
984,984,21.96
985,985,47.58
986,986,20.88
987,987,29.22
988,988,56.27
989,989,78.24
990,990,98.97
991,991,25.07
992,992,35.49
993,993,61.7
994,994,84.06
995,995,31.6
996,996,58.35
997,997,92.18
998,998,42.34
999,999,80.29
1000,1000,97.17
1001,1001,54.2
1002,1002,50.16
1003,1003,52.93
1004,1004,90.66
1005,1005,37.28
1006,1006,76.51
1007,1007,89.69
1008,1008,71.17
1009,1009,11.6
1010,1010,51.32
1011,1011,90.5
1012,1012,27.31
1013,1013,15.61
1014,1014,35.47
1015,1015,50.57
1016,1016,61.96
1017,1017,23.78
1018,1018,69.54
1019,1019,36.86
1020,1020,29.41
1021,1021,83.2
1022,1022,31.38
1023,1023,6.0
1024,1024,79.04
1025,1025,27.92
1026,1026,79.07
1027,1027,2.94
1028,1028,44.25
1029,1029,5.2
1030,1030,76.49
1031,1031,65.0
1032,1032,82.05
1033,1033,15.01
1034,1034,22.41
1035,1035,10.51
1036,1036,74.24
1037,1037,24.22
1038,1038,81.3
1039,1039,46.63
1040,1040,34.51
1041,1041,51.41
1042,1042,72.55
1043,1043,8.67
1044,1044,5.98
1045,1045,29.18
1046,1046,98.86
1047,1047,88.89
1048,1048,4.38
1049,1049,21.81
1050,1050,17.99
1051,1051,7.01
1052,1052,91.56
1053,1053,60.04
1054,1054,89.03
1055,1055,88.15
1056,1056,81.26
1057,1057,28.38
1058,1058,59.91
1059,1059,35.87
1060,1060,61.58
1061,1061,9.81
1062,1062,94.27
1063,1063,38.93
1064,1064,1.37
1065,1065,48.56
1066,1066,13.79
1067,1067,75.6
1068,1068,49.28
1069,1069,43.25
1070,1070,89.23
1071,1071,47.63
1072,1072,78.99
1073,1073,53.23
1074,1074,39.5
1075,1075,61.37
1076,1076,89.56
1077,1077,8.41
1078,1078,28.91
1079,1079,26.29
1080,1080,75.69
1081,1081,7.71
1082,1082,25.89
1083,1083,80.15
1084,1084,60.5
1085,1085,79.17
1086,1086,19.85
1087,1087,3.05
1088,1088,64.52
1089,1089,67.69
1090,1090,36.91
1091,1091,45.47
1092,1092,50.57
1093,1093,2.92
1094,1094,54.59
1095,1095,65.77
1096,1096,68.66
1097,1097,91.1
1098,1098,10.34
1099,1099,51.26
1100,1100,49.36
1101,1101,55.79
1102,1102,23.29
1103,1103,41.51
1104,1104,68.6
1105,1105,82.42
1106,1106,61.46
1107,1107,51.03
1108,1108,16.15
1109,1109,90.66
1110,1110,5.82
1111,1111,90.5
1112,1112,92.98
1113,1113,72.71
1114,1114,18.44
1115,1115,79.13
1116,1116,42.81
1117,1117,82.15
1118,1118,79.24
1119,1119,0.77
1120,1120,19.23
1121,1121,95.88
1122,1122,51.04
1123,1123,46.54
1124,1124,88.54
1125,1125,1.86
1126,1126,15.84
1127,1127,11.77
1128,1128,36.25
1129,1129,98.9
1130,1130,81.97
1131,1131,81.96
1132,1132,94.23
1133,1133,74.5
1134,1134,88.46
1135,1135,30.32
1136,1136,52.07
1137,1137,79.23
1138,1138,6.28
1139,1139,65.85
1140,1140,7.06
1141,1141,18.69
1142,1142,98.15
1143,1143,40.55
1144,1144,16.54
1145,1145,92.04
1146,1146,16.0
1147,1147,24.46
1148,1148,66.25
1149,1149,46.9
1150,1150,34.55
1151,1151,86.67
1152,1152,34.01
1153,1153,99.03
1154,1154,6.78
1155,1155,43.48
1156,1156,12.9
1157,1157,16.53
1158,1158,0.67
1159,1159,17.12
1160,1160,5.8
1161,1161,31.31
1162,1162,62.18
1163,1163,7.03
1164,1164,67.32
1165,1165,59.98
1166,1166,47.72
1167,1167,48.25
1168,1168,41.14
1169,1169,24.44
1170,1170,8.18
1171,1171,93.76
1172,1172,14.36
1173,1173,60.3
1174,1174,3.64
1175,1175,86.8
1176,1176,98.13
1177,1177,15.04
1178,1178,9.06
1179,1179,42.34
1180,1180,51.26
1181,1181,69.05
1182,1182,64.48
1183,1183,96.24
1184,1184,21.85
1185,1185,36.63
1186,1186,36.21
1187,1187,43.24
1188,1188,66.57
1189,1189,32.61
1190,1190,36.95
1191,1191,0.89
1192,1192,15.0
1193,1193,2.18
1194,1194,71.12
1195,1195,3.86
1196,1196,52.23
1197,1197,68.88
1198,1198,84.31
1199,1199,34.79
1200,1200,48.25
1201,1201,75.55
1202,1202,78.67
1203,1203,98.18
1204,1204,34.21
1205,1205,16.94
1206,1206,85.5
1207,1207,2.32
1208,1208,9.17
1209,1209,87.63
1210,1210,96.29
1211,1211,63.45
1212,1212,69.61
1213,1213,70.05
1214,1214,8.33
1215,1215,40.16
1216,1216,8.46
1217,1217,43.02
1218,1218,25.07
1219,1219,95.85
1220,1220,99.84
1221,1221,19.35
1222,1222,76.95
1223,1223,22.38
1224,1224,72.3
1225,1225,15.23
1226,1226,45.55
1227,1227,33.72
1228,1228,64.39
1229,1229,51.61
1230,1230,23.0
1231,1231,90.64
1232,1232,11.56
1233,1233,45.11
1234,1234,77.52
1235,1235,13.8
1236,1236,85.19
1237,1237,2.56
1238,1238,67.94
1239,1239,1.66
1240,1240,48.89
1241,1241,89.7
1242,1242,14.72
1243,1243,84.39
1244,1244,81.37
1245,1245,70.4
1246,1246,56.73
1247,1247,22.88
1248,1248,25.94
1249,1249,51.14
1250,1250,30.55
1251,1251,16.88
1252,1252,58.77
1253,1253,62.71
1254,1254,31.8
1255,1255,30.3
1256,1256,84.39
1257,1257,91.24
1258,1258,88.71
1259,1259,69.65
1260,1260,47.96
1261,1261,53.41
1262,1262,41.14
1263,1263,14.95
1264,1264,46.46
1265,1265,24.38
1266,1266,80.98
1267,1267,26.98
1268,1268,94.1
1269,1269,54.37
1270,1270,58.34
1271,1271,80.62
1272,1272,65.89
1273,1273,66.13
1274,1274,23.88
1275,1275,47.54
1276,1276,28.62
1277,1277,96.94
1278,1278,60.67
1279,1279,56.48
1280,1280,64.56
1281,1281,23.32
1282,1282,1.65
1283,1283,98.94
1284,1284,79.67
1285,1285,13.59
1286,1286,10.24
1287,1287,19.94
1288,1288,39.36
1289,1289,30.95
1290,1290,65.64
1291,1291,65.5
1292,1292,27.85
1293,1293,67.81
1294,1294,91.2
1295,1295,34.02
1296,1296,10.48
1297,1297,60.52
1298,1298,24.75
1299,1299,64.65
1300,1300,37.0
1301,1301,73.76
1302,1302,87.69
1303,1303,4.15
1304,1304,80.47
1305,1305,65.51
1306,1306,79.33
1307,1307,58.15
1308,1308,39.02
1309,1309,67.57
1310,1310,97.31
1311,1311,50.4
1312,1312,89.81
1313,1313,24.59
1314,1314,90.15
1315,1315,30.04
1316,1316,93.16
1317,1317,21.83
1318,1318,53.13
1319,1319,29.88
1320,1320,54.92
1321,1321,21.57
1322,1322,51.23
1323,1323,31.3
1324,1324,68.1
1325,1325,75.72
1326,1326,4.86
1327,1327,45.32
1328,1328,27.71
1329,1329,71.33
1330,1330,97.87
1331,1331,25.81
1332,1332,77.42
1333,1333,86.66
1334,1334,12.5
1335,1335,10.28
1336,1336,73.43
1337,1337,47.43
1338,1338,96.34
1339,1339,39.73
1340,1340,40.14
1341,1341,79.49
1342,1342,86.83
1343,1343,98.67
1344,1344,79.68
1345,1345,54.67
1346,1346,22.31
1347,1347,73.44
1348,1348,52.19
1349,1349,60.0
1350,1350,13.65
1351,1351,72.99
1352,1352,27.91
1353,1353,50.44
1354,1354,9.76
1355,1355,14.94
1356,1356,79.34
1357,1357,53.61
1358,1358,44.65
1359,1359,83.23
1360,1360,95.9
1361,1361,83.65
1362,1362,51.3
1363,1363,16.21
1364,1364,3.77
1365,1365,37.66
1366,1366,73.77
1367,1367,96.09
1368,1368,9.54
1369,1369,25.35
1370,1370,90.56
1371,1371,33.76
1372,1372,61.11
1373,1373,6.59
1374,1374,0.18
1375,1375,24.46
1376,1376,79.53
1377,1377,28.76
1378,1378,38.09
1379,1379,97.35
1380,1380,75.04
1381,1381,89.28
1382,1382,42.48
1383,1383,62.92
1384,1384,50.73
1385,1385,86.48
1386,1386,94.35
1387,1387,16.17
1388,1388,42.98
1389,1389,64.3
1390,1390,43.22
1391,1391,44.79
1392,1392,13.97
1393,1393,15.59
1394,1394,36.87
1395,1395,66.81
1396,1396,20.85
1397,1397,53.98
1398,1398,32.81
1399,1399,31.5
1400,1400,89.26
1401,1401,62.33
1402,1402,51.89
1403,1403,10.18
1404,1404,29.19
1405,1405,38.4
1406,1406,70.33
1407,1407,74.08
1408,1408,38.15
1409,1409,11.51
1410,1410,95.26
1411,1411,2.12
1412,1412,84.7
1413,1413,62.52
1414,1414,10.52
1415,1415,26.84
1416,1416,96.28
1417,1417,56.88
1418,1418,49.15
1419,1419,7.68
1420,1420,17.63
1421,1421,22.06
1422,1422,48.83
1423,1423,34.75
1424,1424,59.31
1425,1425,27.81
1426,1426,87.47
1427,1427,55.22
1428,1428,72.16
1429,1429,40.38
1430,1430,56.77
1431,1431,79.98
1432,1432,82.44
1433,1433,32.07
1434,1434,43.54
1435,1435,81.01
1436,1436,81.35
1437,1437,52.92
1438,1438,15.9
1439,1439,86.93
1440,1440,65.6
1441,1441,1.92
1442,1442,1.61
1443,1443,35.2
1444,1444,73.33
1445,1445,34.93
1446,1446,51.29
1447,1447,38.2
1448,1448,76.08
1449,1449,82.86
1450,1450,68.24
1451,1451,39.39
1452,1452,21.84
1453,1453,89.35
1454,1454,35.05
1455,1455,0.34
1456,1456,27.14
1457,1457,44.72
1458,1458,75.44
1459,1459,96.64
1460,1460,39.58
1461,1461,65.34
1462,1462,87.59
1463,1463,57.93
1464,1464,63.14
1465,1465,11.93
1466,1466,70.26
1467,1467,70.85
1468,1468,45.09
1469,1469,54.3
1470,1470,72.97
1471,1471,59.25
1472,1472,34.81
1473,1473,92.6
1474,1474,54.18
1475,1475,86.37
1476,1476,23.27
1477,1477,73.39
1478,1478,36.11
1479,1479,93.79
1480,1480,48.49
1481,1481,17.98
1482,1482,63.73
1483,1483,49.92
1484,1484,97.34
1485,1485,94.19
1486,1486,31.8
1487,1487,85.29
1488,1488,2.98
1489,1489,15.38
1490,1490,84.99
1491,1491,24.5
1492,1492,32.59
1493,1493,8.02
1494,1494,48.96
1495,1495,28.72
1496,1496,33.85
1497,1497,95.86
1498,1498,24.18
1499,1499,21.41
1500,1500,43.65
