product_id,product_name,price,seller_id,details,timestmp
38,Emami Healthy & Tasty Kachchi Ghani Mustard Oil Plastic Bottle  (1 L),103,915,,2019-11-02 00:23:45
39,Double Horse Semolina Roasted Rava  (1 kg),92,386,,2019-11-05 00:26:07
40,Patanjali Special Chyawanprash  (500 g),135,807,,2019-11-18 00:39:27
41,Real Mixed Berries  (1 L),110,891,,2019-11-23 03:16:30
42,Oral-B Cavity Defense 123 Black Soft Toothbrush  (Pack of 4),93,538,,2019-11-11 00:34:42
43,Lifebuoy Nature Hand Wash Refill Pouch  (750 ml),99,375,,2019-11-03 00:35:01
44,Alpenliebe Cola Jelly Candy  (Pack of 2),45,83,,2019-11-05 00:31:21
45,Mo'plleez Gulab Jamun Tin  (1 kg),148,497,,2019-11-14 00:29:22
46,Weikfield Red Chilli Sauce  (200 g),35,481,,2019-11-22 00:31:05
47,Kingfisher Radler Mint and Lime Flavours Can  (300 ml),38,654,,2019-11-11 00:28:19
48,MTR Lemon Rice with Tomato Rice Powder  (2 x 50 g),26,771,,2019-11-24 00:25:17
49,Aachi Bajji Bonda Powder 200 g,28,70,,2019-11-20 00:31:20
50,Parachute Pure Coconut Hair Oil  (300 ml),107,279,"Treat your mane with the engulfing aroma of coconuts with the Parachute coconut hair oil. This coconut oil has been manufactured using hand-picked coconuts and it has undergone a 5-stage purification process for enhanced purity. 100% Pure Coconut Oil This coconut oil has been made using hand-picked coconuts from India, thereby making it authentic and pure. Consistent Composition Every drop of this oil has the same consistency and viscosity, thereby keeping your hair healthy and strong, with every use. 5-stage Purification Process It has undergone a 5-step purification process to ensure that what you get is nothing but pure and fresh coconut oil for your hair.",2019-11-23 03:29:37
51,"Pril Dish Cleaning Gel  (Kraft, 750)",124,933,,2019-11-27 00:38:27
52,Patanjali Honey-Orange Face Wash  (60 g),45,823,,2019-11-15 00:30:34
53,Paseo Serviettes White Napkins  (100 Sheets),45,472,,2019-11-23 00:42:08
54,Flipkart Supermart Select Abjosh Raisins  (200 g),108,395,"Raisins are small dry fruits that pack more than their size. They are concentrated with carbohydrates, vitamins, iron, potassium and more. Raisins are excellent sources of key nutrients and energy which help improve your overall health. Flipkart Supermart brings a variety of raisins to add a distinct sweetness to your home-made delicacies along with the goodness of nutrition. Sourced from the finest traditional farms, our professionals handpick these ‘Select’ produce carefully to ensure that the maximum nutrition from the farm reaches your food. Through multiple quality checks, cleaning and advanced packaging, Flipkart Supermart Select ensures enhanced shelf-life while preserving the healthy, natural taste of the produce. So go ahead and enjoy a healthy, hearty meal with your family.",2019-11-10 00:25:58
55,Wow Skin Science Coconut Milk Shampoo  (200 ml),281,628,,2019-11-14 00:30:10
56,Kumbh Mustard Small  (200 g),24,546,,2019-11-23 02:50:16
57,Patanjali Kesh Kanti Shikakai Hair Cleanser  (200 ml),95,595,"Get rid of dry hair and show-off your soft, lustrous long locks with the Patanjali Kesh Kanti Shikakai Hair Cleanser. Enriched with natural ingredients, such as shikakai, amla, reetha, tulsi, and bhringraj, this haircare essential reduces hair fall, restores bounce, and makes hair naturally healthy and shiny.",2019-11-09 00:29:57
58,Priyagold Magic Cake Fruit  (150 g),29,784,,2019-11-26 00:27:25
59,Odomos Naturals Mosquito Repellent,56,76,,2019-11-08 00:34:09
60,Nivea Body Milk Nourishing Lotion  (400 ml),303,486,"Radiant, creamy, and smooth - your skin will get a fresh lease of life with the Nivea Body Milk Nourishing Lotion. It has a creamy formula with Hydra IQ and Almond Oil to give you well-nourished, soft skin. Long-lasting Hydration Get hydrated and smooth skin, thanks to the Hydra IQ formula of this lotion. Repairs Skin This lotion contains almond oil which effectively repairs dry skin.",2019-11-11 00:34:11
61,Daawat Brown Basmati Rice  (5 kg),634,669,,2019-11-02 00:26:08
62,"Sensodyne Fresh Gel Toothpaste  (Buy 2 Get 1 (150g Each) Free)  (300 g, Pack of 2)",352,332,,2019-11-04 00:33:40
63,Fabelle Choco Deck Fruit and Nut Bars  (128 g),144,851,,2019-11-06 00:28:20
64,Haldiram's Moong Dal  (350 g),84,127,,2019-11-23 03:10:37
65,Heritage Flavoured Milk  (Badam),25,102,,2019-11-18 00:40:44
66,Alpenliebe Strawberry Toffee  (3 x 36 g),58,17,,2019-11-28 00:31:44
67,Cadbury Bournville Rich Cocoa Dark Chocolate Bars  (80 g),88,935,,2019-11-12 01:03:21
68,Dabur Lal Tail  (100 ml),75,425,,2019-11-02 00:33:54
69,Haldiram's Boondi  (200 g),44,631,,2019-11-05 00:26:12,fbcd54c4ae05949b993983a57d60796d
70,Himalaya baby cream extra soft and gentle  (200 ml),218,89,,2019-11-30 00:35:43
71,Himalaya Khus Khus Baby Powder  (100 g),63,176,"Be it a post-bath, nappy change or sleep time, this Himalaya Baby Powder will help keep your baby’s skin cool and odour-free at all times. Contains Natural Ingredients This powder contains natural ingredients having various medicinal properties. It has olive oil which nourishes, protects and softens skin, and almond oil which moisturizes and fights infections. This gentle formulation is easy on your baby’s sensitive skin. Controls Body Odour Khus khus gives the antiperspirant and anti-astringent properties to this powder and helps control body odour and keep your baby sweat-free. Antiseptic Property This powder is antiseptic and helps keep your little one’s sensitive skin free from skin infections. Relieves Itching This baby powder relives your baby of itching and soothe his skin.",2019-11-05 00:37:02
72,Himalaya Fairness Kesar and Moisturizing Aloe Vera Face Wash  (200 ml),225,159,,2019-11-16 00:31:15
73,Listerine Cavity Fighter Mouthwash  (250 ml),124,841,,2019-11-23 03:33:13
74,Keya Sri Lankan Cinnamon Powder  (50 g),151,322,,2019-11-23 02:59:37
75,"Quaker Oats Plus Multigrain Advantage  (600 g, Pouch)",134,985,"Featuring the benefits of four different grains (oats, wheat, ragi, and barley), this packet from Quaker will be a delicious and healthy addition to your daily nutrition. You can add various toppings and create your very own multigrain breakfast bowl.",2019-11-15 00:27:01
76,Parle 20-20 Butter Cookies  (33% Extra in Pack)  (150 g),20,479,,2019-11-15 00:22:42
77,Pansari Tasty Basmati Rice (Broken Grain)  (5 kg),382,168,,2019-11-23 00:22:12
78,Pond's Men Energy Charge Face Wash  (100 g),174,345,"Remove dirt and impurities from your face to get fresh and glowing skin with the Pond's Men Energy Charge Face Wash. This skincare essential has been specially-designed for the tough skin of men and it removes oil, dust, and dirt effectively. It contains menthol and coffee bean extracts that gently exfoliate your skin for a clean look. Cleanses Skin Get clean and refreshing skin with this face wash for men. Brightens Skin This pond’s product eliminates dead skin cells and evens out your skin tone to brighten your skin instantly. Use Regularly For an active glow, use this face wash regularly.",2019-11-30 00:30:45
79,777 Dhideer Lemon Rice Paste 300 g,85,984,,2019-11-25 00:30:32
80,Olay Age Protect Anti-Ageing Cream  (18 g),181,729,,2019-11-26 00:31:53
81,Cinthol Dive Deodorant Spray - For Men  (150 ml),144,964,"Made for the men of today, this deodorant from Cinthol will make your gloomy and dull day interesting and refreshing. The fragrant smell of this deodorant will keep you going throughout the day and will ensure you look and smell fresh. Fresh and Cool Aqua This deodorant spray will awaken and rejuvenate your senses with its strong and fresh aroma. Skin-Friendly This deodorant is alcohol-free and protects your skin from damage and irritation apart from helping you smell presentable. Long-Lasting All you will need is just a whiff of this spray to smell fresh. The freshness of the aroma will linger around you all day long.",2019-11-30 00:33:31
82,Pillsbury Atta with Multigrains  (5 kg),266,176,,2019-11-03 00:24:38
83,Colgate Sensitive Ultra Soft Toothbrush  (Pack of 4),99,578,,2019-11-15 00:33:25
84,Patanjali Neem & Tulsi Face Wash  (60 g),45,946,,2019-11-04 00:35:19,c64bab0290d968a402eacf81a0e901e5
85,Pears Naturale Aloe Vera Detoxifying Bathing Bar  (6 x 125 g),246,839,,2019-11-08 00:28:59
86,Soul Butter Chicken Instant Masala Mix  (65 g),49,696,,2019-11-06 00:25:43
87,"Gatorade Blue Bolt Flavour Energy Drink  (500 ml, Blue Bolt Flavour Flavored)",50,223,,2019-11-10 00:27:34
88,"Garnier Color Naturals Creme Hair Color  (Shade 5, Light Brown)",162,69,"Achieving beautiful tresses is not a tough task anymore with the application of this Color Naturals Hair Color from the esteemed beauty house of Garnier. Enriched with the essence of olive oil, this Garnier Color Naturals Hair Color ensures no side effects as it is organic in nature. Revel in the goodness of Olive oil which helps in moisturizing your locks after coloring and protecting them from getting damaged. This Hair Color is neatly packed with a colorant tube, a developer bottle and gloves for easy and safe application. The texture of this Hair Color is in the form of cream which can be easily applied on your tresses without dripping. Available in the fun shade of Light Brown, this Hair Color provides with complete grey coverage while nourishing and conditioning your hair. This Color Naturals Hair Color is a permanent hair color cream which provides radiance and shine to your tresses as it colors. The Garnier Color Naturals Hair Color (Light Brown - 5) lasts longer thus, providing every woman with soft and silky hair.",2019-11-17 00:34:01
89,Fun Foods Garlic Mayonnaise 250 g,66,236,,2019-11-01 00:31:12
90,Rajdhani Long Cut Vermicelli 150 g  (Roasted),15,966,,2019-11-21 00:26:44
91,Haldiram's Dal Biji  (400 g),81,589,,2019-11-09 00:26:12
92,"Vaseline Lip Care Aloe Soothe  (Pack of: 1, 10 g)",38,944,,2019-11-23 03:35:22
93,Palmolive Aroma Morning Tonic Shower Gel  (250 ml),149,161,,2019-11-11 00:31:42
94,"Organic India Ginger, Tulsi Tea Tin  (100 g)",178,17,,2019-11-28 00:26:58
95,JK Sat Isabgol Drink  (100 g),94,868,,2019-11-20 00:36:08
96,Tulsi Roasted Pistachios Lazeez  (200 g),309,428,,2019-11-30 00:29:19
97,"RiteBite Max Protein Daily Choco Almond Bar  (50 g, Pouch)",52,791,,2019-11-04 00:27:36
98,Pampers Premium Care Pants - New Born  (24 Pieces),293,994,,2019-11-05 00:37:00
99,"Similac IQ Plus Infant Formula (Stage 1)  (400 g, Upto 6 Months)",650,784,"Similac IQ+ Stage 1- Similac IQ+ 1 is a spray dried stage 1 infant milk substitute for infants up to 6 months. It is designed to support normal growth & development. Similac IQ+ Contains:DHA, Natural Vitamin E, Omega-3, Omega-6,AA, Choline, Iron, Taurine, Iodine, Folic acid and Zinc that are known to support baby's brain development.Level and blend of nucleotides that is known to support baby's developing immune system.Fat blend that is known to support easy digestion and promote calcium absorption.Essential fatty acids, Vitamins and Minerals (such as Calcium and Iron) that are known to support healthy growth of the baby.When your baby is 6 months, try Similac IQ+ 2, specially formulated to meet the needs of growing infants over 6 months. Infants above 6 months should receive supplemental food in addition to formula. Consult your doctor for advice. IMPORTANT NOTICE: MOTHER'S MILK IS BEST FOR YOUR BABY.",2019-11-09 00:42:04
100,Tic Tac Intenser Mint Candy,20,794,,2019-11-01 00:30:59
101,Cadbury Dairy Milk Silk Home Treats Bars  (162 g),170,90,,2019-11-26 00:27:30
102,"Saffola Pongal Surprise Masala Oats  (38 g, Pouch)",15,498,"Made from 100% natural whole grains and bursting with the flavours of the choicest masalas and real vegetables, this Saffola Masala Oats is not only a treat for your taste buds, but also deliciously healthy. The Authentic Taste of Pongal with a Twist The wholesome goodness of oats, sprinkled with a delicious mix of roasted cashews, spices, and condiments make this Saffola Masala Oats a filling and nutritious breakfast or snack option. What’s even better news is that it cooks in just three minutes! Nutritional Benefits Each spoonful of this oats packs natural fibres and protein. Eating a bowl of this oats keeps you full for a long period of time; something you’d find especially beneficial if you’re trying to manage your body weight.",2019-11-14 00:28:01
103,Lifebuoy Nature Hand Wash Pump Dispenser  (190 ml),82,109,,2019-11-14 00:30:24
104,Maggi Pazzta Masala Pasta  (65 g),25,794,Maggi has been the saviour for many of us when it comes to midnight pangs or the lack of time to cook. Now they offer you something new in the form of a tasty pasta that can be cooked in five minutes. Pasta in a Saucy Mix This Nestlé MAGGI PAZZTA Instant Pasta is available to you in a lip-smacking masala flavour. Made from Nutritious Ingredients This pasta from Maggi is made of suji or rawa which makes it a healthy snack. Ready In A Jiffy It takes only 5-minutes to prepare this tasty snack.,2019-11-22 00:26:44
105,"Rasna Nagpur Orange (32 Glasses)  (25 ml, 20 g)",41,857,,2019-11-28 00:23:27
106,"Red Label Natural Care Cardamom, Ginger, Liquorice, Tulsi Tea Box  (500 g)",260,275,,2019-11-30 00:29:06
107,Paper Boat Coconut Water  (200 ml),40,172,,2019-11-26 00:29:43
108,Flipkart Supermart Select Soya Bean  (500 g),48,972,"The super-healthy and versatile food of many, beans are high in antioxidants, fiber, iron, copper, zinc, potassium and vitamin B. Cultivated on nutrient-rich fields, the natural goodness of Flipkart Supermart Beans can help reduce the risk of diabetes, heart disease and assist with weight loss. Sourced from the finest traditional farms, our professionals handpick the Select produce carefully to ensure that the maximum nutrition from the farm reaches your food. Through multiple quality checks, cleaning and advanced packaging, Flipkart Supermart Select ensures an enhanced shelf life while also preserving the healthy, natural taste of the produce. So go ahead and enjoy a healthy, hearty meal with your family.",2019-11-07 00:22:28
109,Veeba Sriracha Chilli Garlic Sauce  (320 g),116,1,,2019-11-23 03:01:55
110,Maiyas Rasgulla Tin  (1 kg),143,95,,2019-11-01 00:31:02
111,Amul Kool Koko  (Chocolate),30,253,,2019-11-20 00:40:07
112,Sakthi Cumin Powder  (50 g),33,638,,2019-11-10 00:23:36
113,Complan NutriGro Badam Kheer  (400 g),275,543,,2019-11-23 03:13:07
114,Flipkart Supermart Select Brown Chana  (1 kg),109,941,"Grams are high in minerals, fibers and proteins. They also provide key vitamins and minerals to your diet. Its pure goodness helps in regulating blood pressure and cholesterol, while also assisting with weight management and diabetes. Flipkart Supermart Grams have a natural and delicious taste with great quality. Sourced from the finest traditional farms, our professionals handpick the Select produce carefully to ensure that the maximum nutrition from the farm reaches your food. Through multiple quality checks, cleaning and advanced packaging, Flipkart Supermart Select ensures an enhanced shelf life while also preserving the healthy, natural taste of the produce. So go ahead and enjoy a healthy, hearty meal with your family.",2019-11-05 00:24:37
115,Safe Harvest Jeera with Tamarind Seedless  (700 g),139,248,,2019-11-18 00:24:46
116,Lay's American Style Cream and Onion Flavour Chips  (2 x 167 g),128,422,"Open a bag of Lay’s chips and share it with your loved ones at home, parties and picnics. Relish the irresistible combination of sour cream, herbs and onions that will keep you wanting for more. These chips are made from high-quality potatoes that are sliced and cooked in edible vegetable oils. They are then seasoned with lip-smacking flavours.",2019-11-28 00:25:13
117,Gillette Regular Pre Shave Cream  (33% Extra in Pack)  (70 g),69,520,,2019-11-28 00:55:45
118,Pro Nature Organic Walnuts  (200 g),479,302,,2019-11-30 00:24:15
119,Colgate Kids 0-2 Extra Soft Toothbrush,29,68,,2019-11-04 00:33:17
120,"Nivea Shine Caring Lip Balm Strawberry  (Pack of: 1, 4.8 g)",159,498,"Let your lips look beautiful, with a hint of colour and the pleasant fragrance of strawberries by wearing the NIVEA Strawberry Shine lip balm. Greet Everyone with Soft and Smooth Lips This lip balm provides enough moisturization for your lips, thereby making them soft and smooth. Delightful Aroma of Strawberry This lip balm will leave your lips looking pleasant, alongside a slight aroma of strawberries.",2019-11-14 00:34:18
121,aavin Flavoured Milk  (Pista),25,972,,2019-11-16 00:38:40
122,Schweppes Tonic  (300 ml),50,639,"Add a dash of zest to your drinks with the Schweppes Tonic that offers a distinctive tang to excite your taste buds. Made with quinine and other delicious ingredients, this tonic can be enjoyed on the rocks and/or with mocktails and cocktails. Refreshing Drink Mixer This is a refreshing and tasty drink mixer to make your favorite drink taste even better. Distinctive Taste Made of quinine and other ingredients, this tonic has a distinctive taste. Ideal for Mocktails and Cocktails Make flavour-rich mocktails and cocktails at home with the Schweppes Tonic. A Standalone Drink Make a standalone drink on the rocks with this tonic and feel refreshed instantly. Serve Chilled Serve the drink chilled and bubbling to enjoy every sip.",2019-11-05 00:28:55
123,Veeba Cheese and Jalapeno Dip  (300 g),107,526,,2019-11-28 00:31:24
124,"Paper Boat Milkshake with Vitamin D  (Vanilla, 180 ml)",27,816,,2019-11-04 00:47:06
125,Pro Nature Organic Daliya  (500 g),56,239,,2019-11-23 02:59:54
126,Minute Maid Guava Juice  (1 L),68,138,"Guava brings back a host of childhood memories and so does this Minute Maid guava juice. Family gatherings or house parties, serve your guests this refreshing drink and make long-lasting memories. Delicious and Quick This flavourful is not just palatable to your taste buds, but it is also completely hassle-free. Just open the lid and serve it fresh.",2019-11-03 00:30:10
127,Dabur Vatika Black Shine Shampoo  (340 ml),87,817,,2019-11-10 00:31:08
128,Himalaya Extra Moisturizing Baby Soap  (125 g),62,435,,2019-11-18 00:38:35
129,All Out Anti Dengue 10 Mosquito Coil  (40% Extra in Pack),33,867,,2019-11-24 00:55:27
130,Homefoil Food Wrapping Super Saver Aluminium Foil  (21 m),141,484,,2019-11-06 00:41:33
131,Tata Sampann Kabuli Chana (Whole)  (1 kg),108,461,,2019-11-04 00:25:21
132,777 Madras Rasam Powder  (Buy 1 Get 1(100g Each) Free)  (100 g),56,680,,2019-11-10 00:23:20
133,Sakthi Rasam Powder  (100 g),66,236,,2019-11-22 00:24:13
134,Parakh Gold Premium Basmati Rice  (1 kg),103,675,,2019-11-26 00:24:50
135,GRB Cow Ghee 1 L Pouch,604,244,,2019-11-11 00:23:50
136,"Freshee Kitchen Roll  (2 Ply, 60 Sheets)",231,744,,2019-11-17 00:39:01
137,Everest TURMERIC POWDER  (500 g),126,512,,2019-11-29 00:25:49
138,"Atish Papad - Sago Fryums 150 g  (Combo Pack 1  1 Free, 150 g each)",51,374,,2019-11-29 00:29:08
139,Patanjali Multani Mitti Body Cleanser  (75 g),35,657,,2019-11-26 00:31:31
140,Dukes Waffy Strawberry Wafer Rolls  (300 g),125,799,,2019-11-23 03:08:10
141,Yardley London English Lavender Deodorant Roll-on - For Women  (50 ml),152,523,,2019-11-13 00:32:12
142,Odonil Zipper Multi Fragrance Blocks (Pack of 5)  (50 g),198,773,,2019-11-29 00:38:54
143,Milky Mist Cooking Pasteurised Unsalted Butter  (500 g),265,590,,2019-11-16 00:38:59
144,Too Yumm! Veggie Stix Sour Cream n Onion Chips  (12% Extra in Pack)  (80 g),33,622,,2019-11-03 00:32:08
145,Colgate Total Charcoal Deep Clean Toothpaste  (120 g),95,107,,2019-11-10 00:33:28
146,Dermi Cool Sandal Talc  (125g Dettol Soap Free)  (150 g),94,418,"Bacteriostatic Formula with Dual Action, gives instant cooling relief. For effective treatment of Prickly Heat and long lasting cooling relief from accompanied stinging, burning and itching of skin along with the fragrance of sandalwood.",2019-11-20 00:33:37
147,"Kwality Original Corn Flakes  (800 g, Pouch)",155,163,,2019-11-14 00:30:03
148,Heritage Pasturised Table Salted Butter  (100 g),46,667,,2019-11-09 00:42:44
149,Pampers Baby-Dry Pants Diaper - New Born  (86 Pieces),786,136,"New Pampers Baby Dry Pants style diapers have 3 revolutionary Extra Absorb Channels, that help distribute wetness evenly throughout the pants diapers, so wetness doesn't collect in one place. Their Magic Gel Layer locks wetness inside and offers up to 12 hours of dryness to help your baby sleep soundly all night.",2019-11-10 00:33:50
150,"Red Label Natural Care Cardamom, Ginger, Liquorice, Tulsi Tea Box  (500 g)",208,684,,2019-11-18 00:29:34
151,Real Fruit Juice Apple  (200 ml),20,476,,2019-11-13 00:30:02
152,Pro Nature Organic Fenugreek (Methi)  (200 g),52,64,,2019-11-28 00:26:04
153,Rasna Instant Orange  (500 g),104,830,,2019-11-12 00:51:01
154,"Vim Dish Cleaning Gel  (Lime, 500)",112,920,,2019-11-26 00:34:34
155,"Pedigree Puppy Milk, Vegetable 1.2 kg Dry Dog Food",288,376,"For a complete and tasty meal of milk and vegetables, serve your dog this tasty blend from Pedigree and watch him enjoy his meal times from now.",2019-11-26 00:56:33
156,Rajdhani Mota Poha  (500 g),45,663,,2019-11-23 03:07:40
157,Kohinoor Dubar Basmati Rice (Medium Grain)  (5 kg),399,402,"The Kohinoor Dubar Basmati Rice lends a tasty and delicious touch to your everyday meals. Aged Naturally This rice is naturally aged because of which it gets its distinct taste and flavour. Also, it is carefully processed in a high-quality manufacturing facility. This process accentuates the rich aroma of the rice and makes your meals yummier. Half the Length The length of this rice is half the length of a full basmati grain, so you can use it to prepare rice-based dishes every day and even for special occasions.",2019-11-26 00:25:19
158,AXE Signature Intense Ticket Perfume - 17 ml  (For Men),61,261,,2019-11-27 00:33:55
159,Liberty Sunday Imported Refined Sunflower Oil Pouch  (1 L),93,195,,2019-11-21 00:23:31
160,Dabur Vatika Henna and Amla Health Shampoo  (440 ml),123,107,,2019-11-11 00:32:55
161,Maybelline Color Show 211 Coral Craze,110,224,,2019-11-25 00:39:38
162,Tong Garden Salted Cocktail Nuts  (150 g),286,146,,2019-11-14 00:30:43
163,Top's Mixed Pickle  (375 g),94,616,,2019-11-28 00:30:35
164,Britannia Layerz Choco Cake Cake Choco  (375 g),150,452,,2019-11-08 00:24:01
165,Ashok Hajmi (Buknu) Masala  (100 g),27,698,,2019-11-11 00:26:28
166,Bounty Miniatures Bars  (150 g),146,411,,2019-11-28 00:31:45
167,Brookside Dark Exotic Chocolates Truffles  (192 g),368,280,,2019-11-23 03:23:17
168,Enchanteur Romantic Talc  (250 g),173,976,,2019-11-13 00:31:43
169,Heritage Flavoured Milk  (Vanilla),25,88,,2019-11-27 00:41:11
170,"TRESemme Detox & Restore Shampoo- No Parabens, No Dyes  (580 ml)",410,252,"Launched in 1948, TRESemme was named after renowned hair care expert Edna Emme. Up until the 1950's, TRESemme was sold only in salons. Today it is available at a shop near you, so that you can have salon style hair at home. For over 60 years, TRESemme has built a history of success in 13 countries around the world. From its origins in 1947 and salon expertise, TRESemme has been driven by a simple truth: every woman deserves to look & feel fabulous, like she has just stepped out of the salon, everyday. This range has been carefully selected for its advanced formula. Driven by our salon heritage, we work with our stylists to deliver expert solutions from salon quality products without the salon price tag. Detox your way to stunning, healthy looking hair with every wash. Our expertly crafted system, gently purifies hair from daily residue build up without parabens or dyes. Formulas with our botanical blend of ginseng and neem, help nourish weak and damaged cuticles reviving hair and restoring manageability. Safe for color treated hair. Apply the TRESemme Botanique Detox & Restore Shampoo to wet hair, gently massage and work into a lather. Rinse thoroughly. Follow with TRESemme Botanique Detox & Restore Conditioner.",2019-11-24 00:33:44
171,Dabur Gulabari  (Cotton Balls Free)  (250 ml),60,162,,2019-11-07 00:31:47
172,"3 Roses Natural Care Tulsi, Ginger, Cardamom Tea Box  (250 g)",165,736,,2019-11-16 00:27:32
